本章	ホンショウ	本章	名詞-一般		
で	デ	で	助詞-格助詞-一般		
説明	セツメイ	説明	名詞-サ変接続		
する	スル	する	動詞-自立	サ変・スル	基本形
販売	ハンバイ	販売	名詞-サ変接続		
管	カン	管	名詞-接尾-一般		
現	ゲン	現	接頭詞-名詞接続		
業務	ギョウム	業務	名詞-一般		
は	ハ	は	助詞-係助詞		
、	、	、	記号-読点		
「	「	「	記号-括弧開		
受注	ジュチュウ	受注	名詞-サ変接続		
・	・	・	記号-一般		
売上	ウリアゲ	売上	名詞-一般		
業務	ギョウム	業務	名詞-一般		
」	」	」	記号-括弧閉		
と	ト	と	助詞-格助詞-引用		
「	「	「	記号-括弧開		
発注	ハッチュウ	発注	名詞-サ変接続		
・	・	・	記号-一般		
仕	ツカマツ	仕る	動詞-自立	五段・ラ行	体言接続特殊２
入	ニュウ	入	接頭詞-名詞接続		
業務	ギョウム	業務	名詞-一般		
」	」	」	記号-括弧閉		
で	デ	だ	助動詞	特殊・ダ	連用形
ある	アル	ある	助動詞	五段・ラ行アル	基本形
．	．	．	記号-句点		
EOS
しかし	シカシ	しかし	接続詞		
、	、	、	記号-読点		
市販	シハン	市販	名詞-サ変接続		
さ	サ	する	動詞-自立	サ変・スル	未然レル接続
れ	レ	れる	動詞-接尾	一段	連用形
て	テ	て	助詞-接続助詞		
いる	イル	いる	動詞-非自立	一段	基本形
販売	ハンバイ	販売	名詞-サ変接続		
管理	カンリ	管理	名詞-サ変接続		
システム	システム	システム	名詞-一般		
で	デ	で	助詞-格助詞-一般		
は	ハ	は	助詞-係助詞		
、	、	、	記号-読点		
第	ダイ	第	接頭詞-数接続		
1	イチ	1	名詞-数		
章	ショウ	章	名詞-接尾-助数詞		
で	デ	で	助詞-格助詞-一般		
説明	セツメイ	説明	名詞-サ変接続		
し	シ	する	動詞-自立	サ変・スル	連用形
た	タ	た	助動詞	特殊・タ	基本形
「	「	「	記号-括弧開		
債権	サイケン	債権	名詞-一般		
・	・	・	記号-一般		
債務	サイム	債務	名詞-一般		
管理	カンリ	管理	名詞-サ変接続		
業務	ギョウム	業務	名詞-一般		
」	」	」	記号-括弧閉		
や	ヤ	や	助詞-並立助詞		
、	、	、	記号-読点		
第	ダイ	第	接頭詞-数接続		
6	ロク	6	名詞-数		
章	ショウ	章	名詞-接尾-助数詞		
で	デ	で	助詞-格助詞-一般		
説明	セツメイ	説明	名詞-サ変接続		
する	スル	する	動詞-自立	サ変・スル	基本形
「	「	「	記号-括弧開		
在庫	ザイコ	在庫	名詞-サ変接続		
管理	カンリ	管理	名詞-サ変接続		
業務	ギョウム	業務	名詞-一般		
」	」	」	記号-括弧閉		
など	ナド	など	助詞-副助詞		
も	モ	も	助詞-係助詞		
含め	フクメ	含める	動詞-自立	一段	連用形
て	テ	て	助詞-接続助詞		
商品	ショウヒン	商品	名詞-一般		
化	カ	化	名詞-接尾-サ変接続		
さ	サ	する	動詞-自立	サ変・スル	未然レル接続
れ	レ	れる	動詞-接尾	一段	連用形
て	テ	て	助詞-接続助詞		
いる	イル	いる	動詞-非自立	一段	基本形
こと	コト	こと	名詞-非自立-一般		
の	ノ	の	助詞-連体化		
ほう	ホウ	ほう	名詞-非自立-一般		
が	ガ	が	助詞-格助詞-一般		
多い	オオイ	多い	形容詞-自立	形容詞・アウオ段	基本形
．	．	．	記号-句点		
EOS
それ	ソレ	それ	名詞-代名詞-一般		
は	ハ	は	助詞-係助詞		
、	、	、	記号-読点		
組織	ソシキ	組織	名詞-サ変接続		
の	ノ	の	助詞-連体化		
枠	ワク	枠	名詞-一般		
に	ニ	に	助詞-格助詞-一般		
とらわれ	トラワレ	とらわれる	動詞-自立	一段	未然形
ない	ナイ	ない	助動詞	特殊・ナイ	基本形
全社	ゼンシャ	全社	名詞-一般		
的	テキ	的	名詞-接尾-形容動詞語幹		
視点	シテン	視点	名詞-一般		
で	デ	で	助詞-格助詞-一般		
考え	カンガエ	考える	動詞-自立	一段	未然形
られ	ラレ	られる	動詞-接尾	一段	連用形
て	テ	て	助詞-接続助詞		
いる	イル	いる	動詞-非自立	一段	基本形
から	カラ	から	助詞-接続助詞		
で	デ	だ	助動詞	特殊・ダ	連用形
ある	アル	ある	助動詞	五段・ラ行アル	基本形
．	．	．	記号-句点		
EOS
ひとつ	ヒトツ	ひとつ	名詞-副詞可能		
の	ノ	の	助詞-連体化		
システム	システム	システム	名詞-一般		
を	ヲ	を	助詞-格助詞-一般		
営業	エイギョウ	営業	名詞-サ変接続		
部門	ブモン	部門	名詞-一般		
や	ヤ	や	助詞-並立助詞		
経	ケイ	経	名詞-一般		
現	ゲン	現	接頭詞-名詞接続		
部門	ブモン	部門	名詞-一般		
、	、	、	記号-読点		
倉庫	ソウコ	倉庫	名詞-一般		
など	ナド	など	助詞-副助詞		
で	デ	で	助詞-格助詞-一般		
使え	ツカエ	使う	動詞-自立	五段・ワ行促音便	仮定形
ば	バ	ば	助詞-接続助詞		
いい	イイ	いい	形容詞-非自立	不変化型	基本形
ため	タメ	ため	名詞-非自立-副詞可能		
、	、	、	記号-読点		
細かく	コマカク	細かい	形容詞-自立	形容詞・アウオ段	連用テ接続
分ける	ワケル	分ける	動詞-自立	一段	基本形
必要	ヒツヨウ	必要	名詞-形容動詞語幹		
も	モ	も	助詞-係助詞		
ない	ナイ	ない	形容詞-自立	形容詞・アウオ段	基本形
．	．	．	記号-句点		
EOS
これ	コレ	これ	名詞-代名詞-一般		
に対して	ニタイシテ	に対して	助詞-格助詞-連語		
本書	ホンショ	本書	名詞-一般		
で	デ	で	助詞-格助詞-一般		
は	ハ	は	助詞-係助詞		
、	、	、	記号-読点		
「	「	「	記号-括弧開		
顧客	コキャク	顧客	名詞-一般		
の	ノ	の	助詞-連体化		
現場	ゲンバ	現場	名詞-一般		
」	」	」	記号-括弧閉		
ごと	ゴト	ごと	名詞-接尾-一般		
