offeree,null:null
contract,http://wordnet.princeton.edu/wn/2.0#6118498
place_of_business,http://wordnet.princeton.edu/wn/2.0#3802951
act,http://wordnet.princeton.edu/wn/2.0#26194
time,http://wordnet.princeton.edu/wn/2.0#14265546
counteroffer,http://wordnet.princeton.edu/wn/2.0#6723172
offer,http://wordnet.princeton.edu/wn/2.0#6722746
rejection,http://wordnet.princeton.edu/wn/2.0#192551
telephone,http://wordnet.princeton.edu/wn/2.0#5890057
address,http://wordnet.princeton.edu/wn/2.0#5961859
person,http://wordnet.princeton.edu/wn/2.0#6026
conduct,http://wordnet.princeton.edu/wn/2.0#4654744
goods,http://wordnet.princeton.edu/wn/2.0#2965274
holiday,http://wordnet.princeton.edu/wn/2.0#14323900
party,http://wordnet.princeton.edu/wn/2.0#9728152
discrepancy,http://wordnet.princeton.edu/wn/2.0#6914946
letter,http://wordnet.princeton.edu/wn/2.0#6215070
circumstance,http://wordnet.princeton.edu/wn/2.0#13151256
price,http://wordnet.princeton.edu/wn/2.0#12547108
effect,http://wordnet.princeton.edu/wn/2.0#10672738
residence,http://wordnet.princeton.edu/wn/2.0#3925367
telex,http://wordnet.princeton.edu/wn/2.0#4233886
quantity,http://wordnet.princeton.edu/wn/2.0#29305
delay,http://wordnet.princeton.edu/wn/2.0#1004791
acceptance,http://wordnet.princeton.edu/wn/2.0#6734410
day,http://wordnet.princeton.edu/wn/2.0#14266428
ee,null:null
transmission,http://wordnet.princeton.edu/wn/2.0#113800
envelope,http://wordnet.princeton.edu/wn/2.0#3172306
delivery,http://wordnet.princeton.edu/wn/2.0#303175
withdrawal,http://wordnet.princeton.edu/wn/2.0#1192435
silence,http://wordnet.princeton.edu/wn/2.0#4722000
payment,http://wordnet.princeton.edu/wn/2.0#12522505
proposal,http://wordnet.princeton.edu/wn/2.0#6719629
addition,http://wordnet.princeton.edu/wn/2.0#347346
revocation,http://wordnet.princeton.edu/wn/2.0#1188821
reply,http://wordnet.princeton.edu/wn/2.0#6331587
communication_system,http://wordnet.princeton.edu/wn/2.0#2966781
intention,http://wordnet.princeton.edu/wn/2.0#5631111
dispatch,http://wordnet.princeton.edu/wn/2.0#55949
invitation,http://wordnet.princeton.edu/wn/2.0#6743940
modification,http://wordnet.princeton.edu/wn/2.0#189089
assent,http://wordnet.princeton.edu/wn/2.0#6733849
offerer,http://wordnet.princeton.edu/wn/2.0#9698581
speech_act,http://wordnet.princeton.edu/wn/2.0#6719083
indication,http://wordnet.princeton.edu/wn/2.0#6379383
quality,http://wordnet.princeton.edu/wn/2.0#4521520
