keio:UID5	member register
wn:6215070	letter
keio:UID8	postal mail
wn:5479334	information
keio:UID13	mailbox for applicant
keio:UID7	letter of refuse
keio:UID6	postal address
wn:9641340	member
wn:5890325	telephone call
wn:6077409	membership card
keio:UID12	mailbox for club
wn:9002180	applicant
wn:12563429	fee
wn:9150896	administrator
wn:7732203	tennis club
keio:UID10	letter book
keio:UID4	volley tennis club
keio:UID1	annual fee
keio:UID2	membership fee
keio:UID0	collected letter
wn:9880504	secretary
wn:3571666	mailbox
keio:UID11	staff of club
keio:UID3	not member
keio:UID9	bank transfer
